Index,Name,Description,Brand,Category,Price,Currency,Stock,Size,Availability
1,Compact Printer Air Advanced Digital,Situation organization these memory much off.,"Garner, Boyle and Flynn",Books & Stationery,265,USD,774,Large,pre_order
2,Tablet,Discussion loss politics free one thousand.,Mueller Inc,Shoes & Footwear,502,USD,81,8x10 in,in_stock
3,Smart Blender Cooker,No situation per.,"Lawson, Keller and Winters",Kitchen Appliances,227,USD,726,XS,in_stock
4,Advanced Router Rechargeable,For force gas energy six laugh.,Gallagher and Sons,Kitchen Appliances,121,USD,"",L,discontinued
5,Portable Mouse Monitor Phone,Feeling back religious however author room scientist.,Irwin LLC,Kids' Clothing,1,USD,925,100x200 mm,discontinued
6,"",Character prove growth contain serious customer.,"Benjamin, Nelson and Hancock",Skincare,426,USD,549,30x40 cm,pre_order
7,Ultra Projector Oven Thermostat Prime Advanced,Pattern possible look necessary indicate work nearly.,"Mccoy, Waters and Rose",Laptops & Computers,68,USD,870,S,discontinued
8,Webcam Stove Grill,Deep area join carry age.,Morrow and Sons,Automotive,159,USD,584,8x10 in,pre_order
9,"",Know father for act let.,"Edwards, Odonnell and Conley",Skincare,454,USD,"",Medium,pre_order
10,Ultra Powerbank Brush Charger Max,Meeting add economic task outside.,"Brennan, Archer and Rosales",Fitness Equipment,845,USD,564,Extra Large,discontinued
11,Wireless Dock,Whole bill sound whether will.,Russo-West,Health & Wellness,257,USD,168,Extra Large,pre_order
12,Fast Camera Router Fan Smart,Various above trouble itself crime form.,Vazquez and Sons,Cleaning Supplies,221,USD,672,Medium,pre_order
13,"",Ten do evidence billion perhaps read bank enter.,Delgado-Blackwell,Cycling,689,USD,"",L,pre_order
14,Smart Trimmer Webcam Heater,Example available better.,Contreras PLC,Automotive,279,USD,818,XXL,pre_order
15,Webcam Dock Heater,State yet soon traditional your deal.,"Juarez, Powell and Travis",Cleaning Supplies,101,USD,159,30x40 cm,pre_order
16,Automatic Watch Lite Sense,As east entire positive source their.,"Reid, Chase and Ballard",Team Sports,316,USD,329,5x7 in,limited_stock
17,Eco Iron Monitor Air,Color single indeed yard event popular food boy.,Barker-Murphy,Automotive,982,USD,47,XL,out_of_stock
18,Digital Tablet Router Printer Lite,Accept campaign every research test.,Vazquez-Smith,Health & Wellness,3,USD,732,10x10 cm,backorder
19,Eco Freezer Powerbank Watch,Of price visit interesting enter three set.,"Pruitt, Higgins and Barnett",Cleaning Supplies,340,USD,618,S,limited_stock
20,Cooler Fan,Fall billion city share.,Bray LLC,Smartphones,529,USD,844,XS,backorder
